都道府県,市区町村,町名,丁目,番地,号,建物名,価格,最寄駅,物件タイプ,敷地面積
福岡県,北九州市,戸畑,6,21,6,六本木ヒルズ森タワー,61488680,直方駅,マンション,1676
福岡県,大牟田市,銀水,1,1,17,日本橋高島屋三井ビルディング,37365200,新飯塚駅,店舗,4419
福岡県,北九州市,八幡,8,27,5,丸の内パークビルディング,66702840,赤坂駅,アパート,1686
神奈川県,川崎市,溝の口,7,4,7,アトレ恵比寿,35000020,藤沢駅,アパート,2230
千葉県,千葉市,千葉中央,3,8,8,国会議事堂,40716300,市川駅,一戸建て,4897
福岡県,福岡市,博多,8,18,13,日本橋三井タワー,54085320,九大学研都市駅,一戸建て,213
埼玉県,所沢市,所沢,6,5,8,東京タワー,84351170,東松山駅,マンション,3839
埼玉県,川口市,蕨,2,23,6,渋谷ヒカリエ,75089330,鳩ヶ谷駅,一戸建て,2001
東京都,新宿区,四谷,7,5,18,虎ノ門ヒルズ,56044240,東京駅,店舗,2061
千葉県,柏市,南柏,10,1,8,丸ビル,76206240,柏駅,アパート,389
東京都,港区,白金,10,21,11,世界貿易センタービル,87615580,東京駅,店舗,4296
千葉県,松戸市,北松戸,6,24,14,ミッドタウン日比谷,72542890,東松戸駅,一戸建て,2284
大阪府,堺市,堺東,10,22,5,テレビ朝日本社ビル,25139830,京橋駅,アパート,4464
東京都,千代田区,神田,10,1,12,東京ドーム,51922320,中野駅,オフィスビル,4304
愛知県,豊田市,浄水,9,14,14,天王洲アイル,55494800,尾張一宮駅,マンション,469
福岡県,福岡市,西新,1,19,3,東京タワー,49490650,大橋駅,マンション,3083
千葉県,松戸市,松戸,5,30,6,赤坂インターシティAIR,50909600,海浜幕張駅,マンション,1070
神奈川県,横須賀市,横須賀中央,4,17,7,新宿パークタワー,42961780,横須賀中央駅,アパート,3348
愛知県,一宮市,木曽川,5,26,16,汐留シティセンター,86053980,春日井駅,アパート,3563
大阪府,大阪市北区,梅田,10,29,2,六本木ヒルズ森タワー,57703900,本町駅,店舗,3353
埼玉県,さいたま市,浦和,4,7,18,汐留シティセンター,61315060,鳩ヶ谷駅,マンション,3647
神奈川県,茅ヶ崎市,辻堂西海岸,5,22,15,池袋サンシャインシティ,36169490,根岸駅,店舗,290
神奈川県,藤沢市,湘南台,6,5,19,日本橋三井タワー,65040580,戸塚駅,マンション,4881
神奈川県,藤沢市,藤沢,3,14,9,新宿パークタワー,58028720,桜木町駅,店舗,3736
神奈川県,横浜市,関内,1,5,18,日本橋三井タワー,47189630,横浜駅,マンション,333
愛知県,豊田市,梅坪,3,7,13,大手町タワー,26753150,岡崎駅,一戸建て,2090
愛知県,岡崎市,岡崎,10,4,2,東京国際フォーラム,46728450,鳴海駅,マンション,4974
福岡県,久留米市,久留米,3,5,15,パシフィックセンチュリープレイス丸の内,20089610,西新駅,店舗,1996
神奈川県,川崎市,溝の口,8,2,16,渋谷スクランブルスクエア,48898460,根岸駅,一戸建て,3257
大阪府,豊中市,豊中,9,17,7,世界貿易センタービル,95574300,梅田駅,オフィスビル,253
東京都,中央区,築地,9,6,16,文京シビックセンター,58542220,品川駅,一戸建て,497
埼玉県,さいたま市,大宮,10,20,9,東京芸術劇場,57385430,新所沢駅,店舗,4614
東京都,新宿区,四谷,6,5,8,秋葉原UDX,45501030,立川駅,マンション,3908
千葉県,市川市,市川,4,16,14,大手町フィナンシャルシティ,52401390,鎌ヶ谷駅,一戸建て,4761
大阪府,大阪市中央区,心斎橋,1,25,5,東急プラザ表参道原宿,33414240,梅田駅,オフィスビル,2408
神奈川県,横須賀市,田浦,9,23,4,日比谷国際ビル,45619520,溝の口駅,一戸建て,3674
埼玉県,川口市,蕨,4,30,5,大手町フィナンシャルシティ,75213240,北越谷駅,マンション,2244
神奈川県,藤沢市,辻堂,10,19,11,大手町タワー,13797690,根岸駅,店舗,4408
神奈川県,茅ヶ崎市,辻堂西海岸,10,16,18,晴海トリトンスクエア,92778340,横須賀中央駅,オフィスビル,4428
千葉県,市川市,本八幡,7,1,3,アトレ恵比寿,65653430,市川駅,アパート,2295
埼玉県,所沢市,所沢,1,14,1,代々木ゼミナール本館,17047320,所沢駅,オフィスビル,3704
千葉県,松戸市,常盤平,5,16,15,大手町プレイス,35771730,海浜幕張駅,オフィスビル,4575
福岡県,大牟田市,勝立,8,1,19,秋葉原UDX,60842460,直方駅,マンション,3973
千葉県,松戸市,松戸,5,16,16,文京シビックセンター,47571210,北習志野駅,店舗,1458
埼玉県,川越市,南古谷,8,11,15,東京国際フォーラム,23770420,浦和駅,店舗,3688
福岡県,大牟田市,大牟田,5,30,12,東京ビッグサイト,76982910,小倉駅,オフィスビル,3109
福岡県,飯塚市,新飯塚,7,27,9,豊洲市場,95583600,大橋駅,店舗,3701
福岡県,福岡市,姪浜,7,12,16,コレド室町,67734310,博多駅,オフィスビル,3274
愛知県,豊田市,豊田市駅,8,26,10,丸の内ブリックスクエア,61835900,春日井駅,一戸建て,3134
愛知県,春日井市,勝川,4,25,20,東京オペラシティ,76139460,豊田市駅,アパート,3561
神奈川県,川崎市,溝の口,1,19,13,赤坂サカス,40404560,桜木町駅,オフィスビル,2324
愛知県,岡崎市,北岡崎,4,26,1,サンシャイン60,20760820,高蔵寺駅,オフィスビル,4727
福岡県,大牟田市,大牟田,8,2,1,アークヒルズ,42370220,大橋駅,店舗,3257
大阪府,堺市,深井,4,11,6,東急キャピトルタワー,42792140,和泉府中駅,一戸建て,4205
埼玉県,川口市,鳩ヶ谷,8,23,3,羽田イノベーションシティ,77898120,新所沢駅,オフィスビル,1246
愛知県,豊田市,豊田市駅,10,5,4,丸ビル,13574900,栄駅,マンション,741
東京都,新宿区,高田馬場,1,3,17,東京ガーデンテラス紀尾井町,72455960,目黒駅,オフィスビル,2955
埼玉県,さいたま市,浦和美園,6,13,10,東京シティビュー,73686690,南浦和駅,オフィスビル,2623
千葉県,松戸市,常盤平,4,17,19,渋谷ストリーム,89575340,北習志野駅,オフィスビル,4495
埼玉県,さいたま市,岩槻,9,15,5,アークヒルズ仙石山森タワー,69685210,川口駅,オフィスビル,1922
愛知県,豊田市,上豊田,2,21,15,赤坂インターシティAIR,34325010,瀬戸駅,店舗,4099
東京都,渋谷区,恵比寿,9,20,16,東京ビッグサイト,42008230,新橋駅,マンション,2937
福岡県,北九州市,黒崎,10,21,20,東京ドームシティ,65015990,直方駅,オフィスビル,4242
東京都,渋谷区,原宿,2,28,5,大手町タワー,22306870,東京駅,アパート,4177
神奈川県,川崎市,武蔵小杉,9,29,12,池袋サンシャインシティ,99533230,海老名駅,オフィスビル,773
福岡県,飯塚市,新飯塚,1,3,8,東京ミッドタウン,96613250,大橋駅,マンション,1391
東京都,千代田区,霞が関,3,22,18,六本木グランドタワー,52654180,秋葉原駅,マンション,4267
神奈川県,横須賀市,久里浜,5,3,18,秋葉原ダイビル,63330600,戸塚駅,アパート,3622
愛知県,岡崎市,東岡崎,4,3,7,恵比寿ガーデンプレイス,96848090,尾張一宮駅,一戸建て,3778
愛知県,岡崎市,美合,2,25,10,東京モード学園コクーンタワー,56171540,瀬戸駅,店舗,3753
埼玉県,さいたま市,大宮,2,21,1,二子玉川ライズ,62302920,春日部駅,マンション,1021
東京都,新宿区,早稲田,4,6,8,赤坂ACTシアター,81004910,池袋駅,マンション,4547
福岡県,福岡市,天神,9,12,13,秋葉原UDX,83525980,直方駅,マンション,1551
埼玉県,所沢市,狭山ヶ丘,2,3,6,新宿アイランドタワー,50262210,越谷駅,アパート,737
愛知県,豊田市,浄水,3,18,10,銀座シックス,99795960,鶴舞駅,オフィスビル,1883
神奈川県,茅ヶ崎市,松林,4,28,11,国立競技場,65284140,鶴見駅,マンション,3729
愛知県,名古屋市,千種,2,21,4,東京ガーデンテラス紀尾井町,96401210,豊田市駅,オフィスビル,2500
千葉県,船橋市,北習志野,7,27,20,キャロットタワー,95829070,船橋駅,一戸建て,4480
神奈川県,藤沢市,辻堂,9,6,2,国会議事堂,96485440,横浜駅,オフィスビル,2505
東京都,中央区,月島,1,7,18,グランパークタワー,56241340,東京駅,店舗,693
神奈川県,横浜市,みなとみらい,5,3,3,東京ガーデンテラス紀尾井町,47250070,相模大野駅,マンション,2083
千葉県,船橋市,三咲,9,3,14,グラントウキョウノースタワー,97684190,本八幡駅,オフィスビル,523
大阪府,大阪市中央区,心斎橋,9,20,6,天王洲アイル,13263160,江坂駅,オフィスビル,567
福岡県,飯塚市,菰田,1,3,17,サンシャイン60,55059140,行橋駅,店舗,282
大阪府,大阪市中央区,心斎橋,5,16,14,グラントウキョウノースタワー,18303310,心斎橋駅,アパート,4939
神奈川県,横浜市,戸塚,4,15,12,文京シビックセンター,22883290,溝の口駅,マンション,79
福岡県,大牟田市,勝立,6,25,14,渋谷スクランブルスクエア,75393490,西鉄柳川駅,アパート,2598
神奈川県,茅ヶ崎市,浜竹,6,28,3,東京ガーデンテラス紀尾井町,26321670,海老名駅,アパート,4140
千葉県,船橋市,津田沼,10,20,9,キャロットタワー,43703120,東松戸駅,オフィスビル,1726
福岡県,久留米市,久留米,10,4,16,東京ポートシティ竹芝,26735190,薬院駅,マンション,384
千葉県,市川市,本八幡,4,21,13,東京ワールドゲート,21680670,鎌ヶ谷駅,一戸建て,1398
神奈川県,横浜市,戸塚,9,30,14,東京オペラシティ,65588900,二俣川駅,オフィスビル,3577
福岡県,飯塚市,鯰田,5,19,3,渋谷スクランブルスクエア,57475990,大橋駅,マンション,1854
埼玉県,越谷市,南越谷,10,22,7,東京ワールドゲート,32025140,所沢駅,アパート,244
千葉県,船橋市,三咲,5,13,16,虎ノ門ツインビルディング,68592050,柏駅,アパート,1708
大阪府,吹田市,北千里,1,24,4,東京ドーム,71996120,北千里駅,店舗,1649
埼玉県,川口市,東川口,8,24,7,東京シティビュー,23746160,大宮駅,一戸建て,1561
大阪府,大阪市中央区,谷町,1,3,19,東京芸術劇場,91482220,大阪駅,店舗,2607
埼玉県,越谷市,大袋,7,15,15,東京国際フォーラム,63360050,新所沢駅,店舗,3184
東京都,港区,芝,1,18,8,東京スカイツリー,92661690,東京駅,店舗,1481
愛知県,名古屋市,栄,10,1,1,東京交通会館,10009610,金山駅,一戸建て,3423
埼玉県,さいたま市,浦和,8,10,20,赤坂ACTシアター,54879910,武蔵浦和駅,一戸建て,2452
東京都,渋谷区,恵比寿,2,26,20,アトレ恵比寿,93183490,目黒駅,店舗,3649
埼玉県,川口市,蕨,4,3,16,東京駅丸の内駅舎,62003150,南浦和駅,アパート,133
埼玉県,さいたま市,与野,10,2,9,東京ガーデンテラス紀尾井町,82945220,浦和駅,店舗,2197
愛知県,名古屋市,千種,3,18,8,東京モード学園コクーンタワー,11684890,高蔵寺駅,一戸建て,2030
大阪府,大阪市北区,天満,4,16,2,テレビ朝日本社ビル,24643910,堺駅,一戸建て,3610
福岡県,北九州市,八幡,2,11,17,渋谷スクランブルスクエア,31855620,箱崎駅,アパート,2734
千葉県,市川市,妙典,1,29,9,汐留メディアタワー,75524260,新浦安駅,オフィスビル,2350
神奈川県,横須賀市,久里浜,7,7,1,アーバンドック ららぽーと豊洲,85892490,根岸駅,アパート,107
神奈川県,横須賀市,横須賀中央,4,2,7,銀座シックス,30626860,根岸駅,店舗,2697
千葉県,柏市,北柏,4,21,19,東京サンケイビル,69739070,千葉駅,店舗,1600
福岡県,久留米市,北野,8,23,10,コレド室町,41696400,新飯塚駅,一戸建て,4221
東京都,渋谷区,代々木,4,21,10,東急キャピトルタワー,91704830,上野駅,一戸建て,1786
東京都,新宿区,高田馬場,7,4,14,渋谷マークシティ,96798570,品川駅,アパート,1565
神奈川県,川崎市,川崎,5,7,6,東京タワー,51316520,二俣川駅,オフィスビル,3774
東京都,中央区,日本橋,2,20,10,東京オペラシティ,23459970,恵比寿駅,一戸建て,2550
東京都,千代田区,神田,10,20,14,国立競技場,96930140,六本木駅,店舗,1306
埼玉県,川口市,鳩ヶ谷,3,19,7,アーバンドック ららぽーと豊洲,52190850,浦和駅,マンション,1656
愛知県,豊田市,土橋,5,25,18,二子玉川ライズ,23577910,名古屋駅,オフィスビル,1102
千葉県,船橋市,北習志野,10,1,14,グラントウキョウノースタワー,80727960,本八幡駅,オフィスビル,4787
神奈川県,横浜市,戸塚,1,29,20,日本橋高島屋三井ビルディング,52042260,根岸駅,店舗,2077
東京都,渋谷区,代官山,3,1,14,池袋サンシャインシティ,45742960,吉祥寺駅,店舗,2507
愛知県,一宮市,尾張一宮,10,17,9,東京駅丸の内駅舎,69159720,春日井駅,店舗,1723
愛知県,岡崎市,岡崎,1,3,15,恵比寿ガーデンプレイス,49981400,高蔵寺駅,マンション,3016
千葉県,船橋市,北習志野,8,27,2,コレド室町,71959850,幕張駅,店舗,1314
東京都,中央区,築地,2,24,9,浜松町ビルディング,46216050,代々木駅,店舗,667
福岡県,久留米市,田主丸,3,21,19,東京ポートシティ竹芝,83068740,博多駅,マンション,4273
愛知県,名古屋市,名古屋駅,1,10,7,東京スカイツリー,50176770,春日井駅,オフィスビル,3145
千葉県,船橋市,船橋,4,25,18,東京サンケイビル,32023670,市川駅,マンション,1079
埼玉県,川口市,西川口,4,24,17,東京芸術劇場,27243690,さいたま新都心駅,マンション,4924
大阪府,大阪市北区,中之島,3,15,8,東京スクエアガーデン,58120130,堺駅,一戸建て,2631
東京都,港区,芝,2,27,5,東京交通会館,78332450,秋葉原駅,一戸建て,1952
埼玉県,越谷市,南越谷,10,3,11,新宿住友ビル,27151860,武蔵浦和駅,一戸建て,3403
東京都,中央区,八丁堀,2,22,7,新宿アイランドタワー,89921190,目黒駅,一戸建て,2294
大阪府,大阪市北区,天満,10,6,4,赤坂インターシティAIR,98759400,梅田駅,一戸建て,383
愛知県,春日井市,神領,7,9,11,晴海トリトンスクエア,95603260,金山駅,マンション,3218
大阪府,大阪市中央区,本町,3,10,12,赤坂インターシティAIR,33763310,枚方駅,マンション,2003
千葉県,松戸市,松戸,6,27,10,日本テレビタワー,76847170,新浦安駅,一戸建て,2235
千葉県,船橋市,三咲,5,10,10,新宿野村ビル,16938790,成田駅,一戸建て,1971
埼玉県,川越市,新河岸,10,3,19,日比谷国際ビル,74490420,所沢駅,オフィスビル,2633
大阪府,大阪市中央区,堺筋本町,5,30,6,赤坂Bizタワー,33246240,北千里駅,アパート,4861
東京都,渋谷区,原宿,2,19,17,丸の内パークビルディング,20784900,吉祥寺駅,店舗,1617
愛知県,一宮市,名鉄一宮,9,2,20,代々木ゼミナール本館,19631750,犬山駅,店舗,4352
東京都,千代田区,秋葉原,9,17,11,新宿アイランドタワー,53085350,新宿駅,アパート,4877
大阪府,大阪市北区,大淀,7,28,3,浅草文化観光センター,58547110,鶴橋駅,店舗,3866
愛知県,一宮市,木曽川,2,18,5,浜松町ビルディング,24274860,鶴舞駅,マンション,3696
東京都,渋谷区,原宿,2,16,3,六本木ヒルズ森タワー,64089680,渋谷駅,店舗,1794
東京都,渋谷区,渋谷,2,9,13,渋谷スクランブルスクエア,39376520,八王子駅,オフィスビル,3701
愛知県,岡崎市,北岡崎,8,11,12,東京交通会館,43809190,大曽根駅,店舗,81
愛知県,春日井市,春日井,4,2,7,東京サンケイビル,24353580,豊田市駅,アパート,3317
大阪府,堺市,堺東,6,15,16,東京ガーデンテラス紀尾井町,44551260,堺駅,マンション,2429
神奈川県,藤沢市,湘南台,10,8,19,永田町グリッド,45159870,横浜駅,オフィスビル,4244
東京都,千代田区,神田,7,29,11,池袋サンシャインシティ,79139160,中野駅,マンション,4523
福岡県,大牟田市,勝立,9,20,7,東京ガーデンテラス紀尾井町,29056310,姪浜駅,アパート,225
東京都,渋谷区,渋谷,7,20,19,渋谷ヒカリエ,43467500,中野駅,マンション,2358
愛知県,豊田市,土橋,6,20,4,東京ガーデンテラス紀尾井町,46465740,豊田市駅,一戸建て,3789
愛知県,名古屋市,栄,6,20,6,東京オペラシティ,84335590,刈谷駅,一戸建て,2298
東京都,港区,六本木,4,25,6,新丸の内ビルディング,25801910,新橋駅,オフィスビル,3624
千葉県,柏市,柏,7,21,1,大手町タワー,13594410,津田沼駅,オフィスビル,881
埼玉県,川越市,霞ヶ関,10,3,16,東京オペラシティ,93825240,川越駅,オフィスビル,1762
福岡県,久留米市,花畑,8,26,2,二子玉川ライズ,91606860,西鉄久留米駅,店舗,1637
大阪府,大阪市北区,中之島,9,9,4,渋谷スクランブルスクエア,73364420,なんば駅,オフィスビル,4243
埼玉県,川口市,川口,6,5,17,東京ガーデンテラス紀尾井町,88664520,武蔵浦和駅,オフィスビル,1006
神奈川県,藤沢市,善行,6,17,4,アークヒルズ,70366060,根岸駅,店舗,3380
千葉県,市川市,市川,3,26,10,コレド室町,64829890,船橋駅,アパート,2245
愛知県,豊田市,豊田市駅,6,20,16,東京モード学園コクーンタワー,61188480,岡崎駅,一戸建て,4330
福岡県,久留米市,花畑,1,2,10,羽田イノベーションシティ,77731930,薬院駅,アパート,4887
神奈川県,横浜市,みなとみらい,6,29,9,大手町タワー,40271730,新横浜駅,一戸建て,2774
福岡県,大牟田市,大牟田,2,30,9,丸の内オアゾ,78473470,西鉄久留米駅,一戸建て,3796
東京都,中央区,日本橋,3,14,14,羽田イノベーションシティ,63085020,六本木駅,一戸建て,50
愛知県,春日井市,勝川,2,29,11,銀座シックス,41706340,春日井駅,一戸建て,4597
大阪府,豊中市,豊中,2,4,16,アークヒルズ,46146860,高槻駅,アパート,2579
東京都,新宿区,四谷,1,15,2,パシフィックセンチュリープレイス丸の内,69349490,高田馬場駅,オフィスビル,3987
東京都,千代田区,秋葉原,6,28,18,アークヒルズ,77417570,立川駅,オフィスビル,736
東京都,千代田区,秋葉原,1,1,1,虎ノ門ヒルズ,40926690,三鷹駅,マンション,2882
愛知県,春日井市,高蔵寺,10,26,5,品川シーサイド,67695230,三河安城駅,アパート,2277
神奈川県,川崎市,川崎,4,3,10,渋谷マークシティ,37906570,大船駅,一戸建て,1069
神奈川県,藤沢市,辻堂,5,14,12,恵比寿ガーデンプレイス,39481210,藤沢駅,一戸建て,3857
東京都,港区,麻布,1,21,10,大手町プレイス,24812510,吉祥寺駅,マンション,3571
大阪府,大阪市北区,梅田,2,14,15,霞が関ビルディング,67705770,茨木駅,アパート,1357
福岡県,久留米市,善導寺,3,16,1,キャピタルゲートプレイス,98173700,大橋駅,一戸建て,3619
愛知県,一宮市,名鉄一宮,3,17,3,赤坂サカス,87150650,三河安城駅,オフィスビル,358
愛知県,岡崎市,東岡崎,10,2,4,秋葉原UDX,12828050,岡崎駅,マンション,2143
千葉県,千葉市,千葉中央,4,5,10,秋葉原ダイビル,98850220,千葉駅,オフィスビル,470
愛知県,一宮市,尾張大野,7,5,8,代々木ゼミナール本館,68302500,三河安城駅,オフィスビル,3334
大阪府,大阪市北区,中之島,9,19,13,明治生命館,77806990,泉佐野駅,一戸建て,2132
千葉県,船橋市,船橋,4,30,8,新丸の内ビルディング,27524630,西船橋駅,アパート,4284
埼玉県,川越市,川越,4,9,4,日本橋高島屋三井ビルディング,22799160,新座駅,アパート,1620
埼玉県,所沢市,所沢,9,24,18,東京スカイツリー,98620790,さいたま新都心駅,一戸建て,4301
東京都,中央区,銀座,10,25,4,東京サンケイビル,59874710,立川駅,オフィスビル,3707
千葉県,柏市,北柏,1,28,10,国立代々木競技場,91658230,津田沼駅,アパート,4564
愛知県,一宮市,尾張大野,2,21,7,東京国際フォーラム,10350290,有松駅,アパート,2954
福岡県,飯塚市,鯰田,9,6,6,サンシャイン60,72042720,九大学研都市駅,店舗,2801
大阪府,吹田市,南千里,9,29,18,六本木グランドタワー,88131490,江坂駅,マンション,3477
福岡県,大牟田市,諏訪,8,21,8,東京宝塚ビル,21664470,天神駅,マンション,488
神奈川県,川崎市,武蔵小杉,4,28,17,文京シビックセンター,86694420,二俣川駅,マンション,418
愛知県,一宮市,尾張一宮,10,30,5,表参道ヒルズ,82830960,金山駅,オフィスビル,2126
愛知県,名古屋市,千種,10,3,16,東京ワールドゲート,83431330,岡崎駅,アパート,4394
福岡県,福岡市,天神,7,12,14,サンシャイン60,10941620,箱崎駅,一戸建て,2282
愛知県,一宮市,妙興寺,6,28,20,サンシャイン60,88836400,刈谷駅,オフィスビル,2259
愛知県,春日井市,高蔵寺,6,9,7,キャロットタワー,73812170,豊橋駅,マンション,3479
福岡県,福岡市,香椎,2,19,15,秋葉原ダイビル,49197560,薬院駅,オフィスビル,1236
東京都,港区,麻布,4,21,6,明治生命館,79260550,代々木駅,店舗,4424
東京都,中央区,月島,1,3,11,東京交通会館,62293510,秋葉原駅,オフィスビル,4777
東京都,千代田区,永田町,4,1,18,東京芸術劇場,49092110,高田馬場駅,店舗,505
福岡県,飯塚市,新飯塚,3,5,13,二子玉川ライズ,99878840,大橋駅,マンション,3340
福岡県,福岡市,姪浜,9,19,2,渋谷スクランブルスクエア,82165860,小倉駅,店舗,1384
愛知県,豊田市,浄水,9,25,6,二子玉川ライズ,64856710,豊橋駅,一戸建て,4400
神奈川県,横浜市,みなとみらい,2,18,10,東京ポートシティ竹芝,26595970,溝の口駅,店舗,329
千葉県,松戸市,北松戸,2,23,5,東京ポートシティ竹芝,87768730,海浜幕張駅,一戸建て,3761
大阪府,豊中市,服部,8,8,17,晴海トリトンスクエア,81624020,心斎橋駅,オフィスビル,1042
大阪府,大阪市中央区,本町,10,21,19,赤坂サカス,83904400,淀屋橋駅,一戸建て,3729
埼玉県,所沢市,新所沢,1,2,5,東京モード学園コクーンタワー,13248460,春日部駅,店舗,2789
福岡県,北九州市,戸畑,7,24,17,羽田イノベーションシティ,79401150,箱崎駅,アパート,515
神奈川県,茅ヶ崎市,松林,6,17,14,代々木ゼミナール本館,11112290,二俣川駅,オフィスビル,2889
福岡県,福岡市,西新,8,2,1,東京オペラシティ,51548900,博多駅,マンション,2055
福岡県,久留米市,善導寺,10,3,14,新宿アイランドタワー,21671680,西新駅,オフィスビル,4335
福岡県,福岡市,西新,5,21,10,パシフィックセンチュリープレイス丸の内,35286490,西鉄福岡駅,一戸建て,2108
福岡県,福岡市,西新,2,23,2,大手町タワー,97592510,黒崎駅,オフィスビル,124
福岡県,久留米市,北野,7,25,10,新宿センタービル,61446540,折尾駅,マンション,3129
愛知県,春日井市,春日井,10,2,7,恵比寿ガーデンプレイス,84648760,鶴舞駅,マンション,4819
東京都,渋谷区,恵比寿,5,8,1,豊洲市場,17764640,中野駅,オフィスビル,3134
福岡県,福岡市,香椎,3,5,20,アトレ恵比寿,82021580,天神駅,アパート,442
大阪府,大阪市北区,扇町,1,26,9,東京エレクトロンホール宮城,75737660,心斎橋駅,マンション,807
愛知県,名古屋市,栄,6,27,17,天王洲アイル,93275430,鶴舞駅,オフィスビル,855
埼玉県,所沢市,所沢,1,11,7,渋谷ストリーム,72968240,浦和駅,オフィスビル,3547
埼玉県,越谷市,北越谷,3,6,4,ミッドタウン日比谷,23989860,越谷駅,アパート,2442
福岡県,久留米市,久留米,8,18,17,東京シティビュー,30509480,西新駅,オフィスビル,4595
大阪府,堺市,深井,5,14,8,汐留シオサイト,34440000,江坂駅,店舗,3490
神奈川県,藤沢市,藤沢,6,21,4,東京交通会館,23270090,武蔵小杉駅,店舗,1035
神奈川県,横浜市,新横浜,10,25,10,六本木グランドタワー,41038340,横浜駅,マンション,4497
大阪府,堺市,泉ヶ丘,8,9,17,東京シティビュー,74170480,和泉府中駅,マンション,3957
埼玉県,越谷市,大袋,8,7,11,天王洲アイル,32551260,北朝霞駅,オフィスビル,3569
埼玉県,川口市,鳩ヶ谷,2,4,17,渋谷ストリーム,15597720,武蔵浦和駅,マンション,2657
千葉県,松戸市,常盤平,9,6,11,東京スカイツリー,56698950,海浜幕張駅,店舗,2194
東京都,渋谷区,渋谷,6,30,18,東京ガーデンテラス紀尾井町,25190810,渋谷駅,一戸建て,2646
東京都,新宿区,高田馬場,6,16,6,アークヒルズ仙石山森タワー,97691260,池袋駅,店舗,4508
千葉県,市川市,南行徳,3,3,6,天王洲アイル,14379390,鎌ヶ谷駅,一戸建て,336
東京都,千代田区,神田,1,25,19,有明ガーデン,64643980,大崎駅,アパート,4779
愛知県,岡崎市,矢作,7,10,12,渋谷マークシティ,43231810,鶴舞駅,店舗,266
千葉県,千葉市,美浜,8,3,12,アークヒルズ仙石山森タワー,59670730,東松戸駅,店舗,1544
神奈川県,茅ヶ崎市,浜竹,1,4,2,東京モード学園コクーンタワー,24637380,横須賀中央駅,アパート,1588
神奈川県,藤沢市,湘南台,8,16,5,東京ドーム,48136700,桜木町駅,店舗,4336
神奈川県,藤沢市,江ノ島,5,7,16,羽田イノベーションシティ,43203010,本厚木駅,アパート,4841
東京都,中央区,築地,10,19,9,六本木ヒルズ森タワー,49705850,目黒駅,オフィスビル,2720
東京都,千代田区,神田,5,24,1,二子玉川ライズ,73319040,三鷹駅,一戸建て,967
大阪府,吹田市,吹田,3,21,19,東京モード学園コクーンタワー,74160760,難波駅,店舗,3065
神奈川県,藤沢市,善行,2,3,5,ミッドタウン日比谷,59976680,桜木町駅,オフィスビル,304
神奈川県,横浜市,関内,10,12,17,大手町プレイス,93434290,根岸駅,一戸建て,3241
愛知県,名古屋市,栄,5,8,3,グラントウキョウノースタワー,39587600,春日井駅,一戸建て,2583
大阪府,堺市,深井,9,21,1,渋谷ヒカリエ,51959210,新大阪駅,店舗,715
神奈川県,横須賀市,田浦,6,29,18,恵比寿ガーデンプレイス,97699390,小田原駅,オフィスビル,3406
愛知県,豊田市,土橋,9,29,19,東京国際フォーラム,60359850,瀬戸駅,マンション,3698
神奈川県,藤沢市,善行,6,8,5,アーバンドック ららぽーと豊洲,16897710,藤沢駅,店舗,693
福岡県,久留米市,久留米,8,15,14,コレド室町,28195950,黒崎駅,マンション,1099
東京都,渋谷区,代官山,7,11,4,国立代々木競技場,70510830,三鷹駅,オフィスビル,235
東京都,渋谷区,代々木,2,7,3,丸の内ブリックスクエア,57360750,渋谷駅,一戸建て,1662
東京都,中央区,日本橋,5,23,6,アークヒルズ仙石山森タワー,91766920,立川駅,オフィスビル,2660
神奈川県,川崎市,川崎,4,7,13,東京スカイツリー,44042160,横須賀中央駅,オフィスビル,3756
大阪府,大阪市中央区,本町,1,12,13,東京ポートシティ竹芝,70531230,鶴橋駅,アパート,3273
大阪府,大阪市北区,天満,6,4,9,渋谷スクランブルスクエア,93288530,梅田駅,店舗,148
福岡県,飯塚市,飯塚,6,29,17,汐留シオサイト,77846230,西鉄福岡駅,マンション,1715
愛知県,名古屋市,大須,2,26,16,東京モード学園コクーンタワー,72984300,新瀬戸駅,店舗,2495
神奈川県,横浜市,戸塚,9,26,18,サンシャイン60,79765840,関内駅,店舗,2928
愛知県,岡崎市,美合,10,16,12,アーバンドック ららぽーと豊洲,42099340,春日井駅,店舗,1467
福岡県,北九州市,黒崎,10,1,9,東京シティビュー,43014380,小倉駅,アパート,466
神奈川県,川崎市,川崎,7,23,18,東京駅丸の内駅舎,30134740,根岸駅,一戸建て,246
大阪府,大阪市中央区,本町,6,27,20,品川シーサイド,17807880,高槻駅,店舗,226
埼玉県,川越市,川越,9,14,13,有明ガーデン,35605800,南浦和駅,アパート,4668
福岡県,飯塚市,菰田,3,21,3,豊洲市場,98745880,西新駅,一戸建て,2845
埼玉県,越谷市,せんげん台,8,29,12,東京タワー,59885450,大宮駅,店舗,3525
福岡県,大牟田市,大牟田,5,8,16,晴海トリトンスクエア,76103870,九大学研都市駅,アパート,1594
埼玉県,川口市,西川口,8,7,14,東京エレクトロンホール宮城,87587590,南浦和駅,アパート,1437
東京都,新宿区,早稲田,3,30,11,赤坂Bizタワー,92301570,東京駅,マンション,885
愛知県,春日井市,高蔵寺,8,9,14,東京モード学園コクーンタワー,88034970,知立駅,店舗,493
